dataset,model,variant,threshold,precision,recall,f1,fp_rate,fn_rate,expected_cost
finance,LogisticRegression,uncalibrated,0.05,0.37272727272727274,1.0,0.543046357615894,0.6272727272727273,0.0,0.6272727272727273
finance,LogisticRegression,uncalibrated,0.1,0.37272727272727274,1.0,0.543046357615894,0.6272727272727273,0.0,0.6272727272727273
finance,LogisticRegression,uncalibrated,0.15,0.3744292237442922,1.0,0.5448504983388704,0.6227272727272727,0.0,0.6227272727272727
finance,LogisticRegression,uncalibrated,0.2,0.38207547169811323,0.9878048780487805,0.5510204081632653,0.5954545454545455,0.004545454545454545,0.6181818181818182
finance,LogisticRegression,uncalibrated,0.25,0.3969849246231156,0.9634146341463414,0.5622775800711743,0.5454545454545454,0.013636363636363636,0.6136363636363636
finance,LogisticRegression,uncalibrated,0.3,0.425414364640884,0.9390243902439024,0.5855513307984791,0.4727272727272727,0.022727272727272728,0.5863636363636363
finance,LogisticRegression,uncalibrated,0.35,0.43902439024390244,0.8780487804878049,0.5853658536585366,0.41818181818181815,0.045454545454545456,0.6454545454545455
finance,LogisticRegression,uncalibrated,0.4,0.44,0.8048780487804879,0.5689655172413793,0.38181818181818183,0.07272727272727272,0.7454545454545455
finance,LogisticRegression,uncalibrated,0.45,0.4846153846153846,0.7682926829268293,0.5943396226415094,0.30454545454545456,0.08636363636363636,0.7363636363636363
finance,LogisticRegression,uncalibrated,0.5,0.5188679245283019,0.6707317073170732,0.5851063829787234,0.2318181818181818,0.12272727272727273,0.8454545454545455
finance,LogisticRegression,uncalibrated,0.55,0.5802469135802469,0.573170731707317,0.5766871165644172,0.15454545454545454,0.1590909090909091,0.95
finance,LogisticRegression,uncalibrated,0.6,0.6333333333333333,0.4634146341463415,0.5352112676056338,0.1,0.2,1.1
finance,LogisticRegression,uncalibrated,0.65,0.717391304347826,0.4024390243902439,0.515625,0.05909090909090909,0.22272727272727272,1.1727272727272726
finance,LogisticRegression,uncalibrated,0.7,0.7428571428571429,0.3170731707317073,0.4444444444444444,0.04090909090909091,0.2545454545454545,1.3136363636363637
finance,LogisticRegression,uncalibrated,0.75,0.6956521739130435,0.1951219512195122,0.3047619047619048,0.031818181818181815,0.3,1.5318181818181817
finance,LogisticRegression,uncalibrated,0.8,0.6666666666666666,0.14634146341463414,0.24,0.02727272727272727,0.3181818181818182,1.6181818181818182
finance,LogisticRegression,uncalibrated,0.85,0.6363636363636364,0.08536585365853659,0.15053763440860216,0.01818181818181818,0.3409090909090909,1.7227272727272727
finance,LogisticRegression,uncalibrated,0.9,0.6,0.036585365853658534,0.06896551724137931,0.00909090909090909,0.35909090909090907,1.8045454545454545
finance,LogisticRegression,uncalibrated,0.95,0.0,0.0,0.0,0.0,0.37272727272727274,1.8636363636363635
finance,LogisticRegression,calibrated_best,0.05,0.37272727272727274,1.0,0.543046357615894,0.6272727272727273,0.0,0.6272727272727273
finance,LogisticRegression,calibrated_best,0.1,0.37272727272727274,1.0,0.543046357615894,0.6272727272727273,0.0,0.6272727272727273
finance,LogisticRegression,calibrated_best,0.15,0.37850467289719625,0.9878048780487805,0.5472972972972973,0.6045454545454545,0.004545454545454545,0.6272727272727273
finance,LogisticRegression,calibrated_best,0.2,0.39800995024875624,0.975609756097561,0.5653710247349824,0.55,0.00909090909090909,0.5954545454545455
finance,LogisticRegression,calibrated_best,0.25,0.42613636363636365,0.9146341463414634,0.5813953488372093,0.4590909090909091,0.031818181818181815,0.6181818181818182
finance,LogisticRegression,calibrated_best,0.3,0.44155844155844154,0.8292682926829268,0.576271186440678,0.39090909090909093,0.06363636363636363,0.7090909090909091
finance,LogisticRegression,calibrated_best,0.35,0.5,0.7439024390243902,0.5980392156862745,0.2772727272727273,0.09545454545454546,0.7545454545454545
finance,LogisticRegression,calibrated_best,0.4,0.5543478260869565,0.6219512195121951,0.5862068965517241,0.18636363636363637,0.1409090909090909,0.8909090909090909
finance,LogisticRegression,calibrated_best,0.45,0.6129032258064516,0.4634146341463415,0.5277777777777778,0.10909090909090909,0.2,1.1090909090909091
finance,LogisticRegression,calibrated_best,0.5,0.717391304347826,0.4024390243902439,0.515625,0.05909090909090909,0.22272727272727272,1.1727272727272726
finance,LogisticRegression,calibrated_best,0.55,0.7096774193548387,0.2682926829268293,0.3893805309734513,0.04090909090909091,0.2727272727272727,1.4045454545454545
finance,LogisticRegression,calibrated_best,0.6,0.7142857142857143,0.18292682926829268,0.2912621359223301,0.02727272727272727,0.30454545454545456,1.55
finance,LogisticRegression,calibrated_best,0.65,0.6470588235294118,0.13414634146341464,0.2222222222222222,0.02727272727272727,0.32272727272727275,1.6409090909090909
finance,LogisticRegression,calibrated_best,0.7,0.6363636363636364,0.08536585365853659,0.15053763440860216,0.01818181818181818,0.3409090909090909,1.7227272727272727
finance,LogisticRegression,calibrated_best,0.75,0.5,0.04878048780487805,0.08888888888888889,0.01818181818181818,0.35454545454545455,1.790909090909091
finance,LogisticRegression,calibrated_best,0.8,0.6666666666666666,0.024390243902439025,0.047058823529411764,0.004545454545454545,0.36363636363636365,1.8227272727272728
finance,LogisticRegression,calibrated_best,0.85,0.0,0.0,0.0,0.0,0.37272727272727274,1.8636363636363635
finance,LogisticRegression,calibrated_best,0.9,0.0,0.0,0.0,0.0,0.37272727272727274,1.8636363636363635
finance,LogisticRegression,calibrated_best,0.95,0.0,0.0,0.0,0.0,0.37272727272727274,1.8636363636363635
medical,RandomForest,uncalibrated,0.05,0.2484076433121019,1.0,0.3979591836734694,0.6555555555555556,0.0,0.6555555555555556
medical,RandomForest,uncalibrated,0.1,0.2923076923076923,0.9743589743589743,0.44970414201183434,0.5111111111111111,0.005555555555555556,0.5388888888888889
